sample_id,clim_precip,clim_temp,soil_texture,topo_elevation,topo_slope
392,0.1207144691687121,290.6183544323142,8,54,2.1697185
393,0.1232904028557934,291.0470789709494,4,41,2.1642303
394,0.1187744355839156,290.4896422256373,8,67,1.4611571
395,0.1248281022316894,290.93801426197047,7,56,2.1655948
396,0.1110977542788683,289.6515265576448,8,71,0.0
397,0.1238356703671872,290.8833984201044,8,57,1.4546186
398,0.1237976705810042,291.1508592200519,2,44,1.1141932
399,0.1230246462499396,290.75255715640714,8,60,3.8431258
400,0.1095594996753449,289.5219276081757,8,81,3.5960624
401,0.1238297448451009,290.9033477034955,8,56,1.1203495
402,0.1281125093733837,291.17419930645144,8,93,2.994574
403,0.1204516930535172,290.60087518205506,8,53,1.4599237
404,0.1192678173452453,290.5227143912442,8,68,1.4605057
405,0.1155588249474247,290.05082875440223,7,69,3.536808
406,0.1255034532636249,291.01833027835283,8,52,2.1646821
407,0.1218953780958946,290.8300659574255,8,49,3.4882092
408,0.1228753218897931,291.181629816417,5,38,2.4108112
409,0.1240907888773086,290.8751728388711,6,56,0.92740995
410,0.1229194206293897,290.8870141412756,4,40,2.902201
411,0.1258847587415781,291.07635905022494,8,50,0.92740995
412,0.1220037099105086,290.7002343749273,8,52,1.4582229
413,0.1134354722313835,290.1904846207874,7,63,2.1741662
414,0.116452536595654,290.36352415138623,8,56,2.1725273
415,0.1083597794534962,289.2155447571564,8,180,3.8765752
416,0.1162738407480582,290.3624585854715,8,59,3.0018997
417,0.1174700854067825,290.4358379060302,4,59,1.1319909
418,0.1203749482020619,290.60392021677814,8,59,0.92740995
419,0.112687136739388,289.940090650025,7,63,0.92740995
420,0.1228405630440048,291.1540337439208,8,40,1.1139524
421,0.1085331054374803,289.0788110302105,8,97,5.7529626
422,0.1235900161351589,290.81613932102573,8,58,1.1224076
423,0.1139739806285433,290.2257494286499,8,66,2.9311981
424,0.1159345396614741,290.34166729177696,8,63,1.4649823
425,0.1218921589205347,290.73193816156066,8,51,3.3710935
426,0.1205735851366791,290.6202603363813,8,65,2.4369698
427,0.1124669776653474,290.11978560820216,8,127,2.2722566
428,0.1222624955232138,291.1981969464333,8,34,1.1127264
429,0.1102860293043362,289.9255169807599,8,177,2.4596033
430,0.1231579602873616,290.830572400343,8,57,0.92740995
431,0.1227557846221671,290.7498360460133,8,58,1.4568615
432,0.1187493140217113,290.5045997891484,8,60,1.130001
433,0.1227457105398497,290.7207094914997,8,58,2.9134455
434,0.122574141157076,290.75971990019514,7,62,2.4292367
435,0.114762400698543,290.2711180869742,8,65,1.4659766
436,0.1221204806824036,290.78757844170644,8,51,2.429367
437,0.124763019682007,291.03970104234355,4,48,1.1170897
438,0.1108249111571131,289.3755428837827,7,84,4.765578
439,0.1101678853480396,289.88969799593485,8,162,2.459983
440,0.1149260508739163,290.26485315291666,7,61,0.0
441,0.1222417722061364,290.8885931436539,8,46,0.0
442,0.111590240898693,289.7077325073881,8,73,2.1773968
443,0.1226821599961101,290.75143578519874,8,58,1.1236306
444,0.1109214001876154,289.74042163050586,8,69,1.4706131
445,0.1219300178107284,290.9520962865006,2,45,6.683458
446,0.1089174874189381,289.4488108571392,8,76,0.0
447,0.1248540030713179,290.9712550463644,8,51,1.4529952
448,0.1210369918992638,290.6506880982482,5,61,0.0
449,0.1222324242351906,290.84141977940783,7,46,1.121911
